一 “act” : 做，作用
1.act			    v.表演，举动，起作用 n.行为，法令
2.actual		    adj.实际的，现实的
3.action		    n.行动，动作
4.active 		    adj.活跃的，积极的
5.activate		    v.启动，激活
6.activity 		    n.活动，行动，活跃
7.inactive		    adj.不活跃，不活动的，怠慢的
8.radioactive       adj.放射引起的
9.actor             n.男演员，作用物
10.actress          n.女演员
11.react            v.反应，起作用
12.reaction         n.反应，感应
13.reactor          n.反应器，反应堆
14.interact         n.互相作用，互动
15.transact         v.交易，谈判
16.transaction      n.办理，处理，事务
17.charactor        n.性格，任务角色，字符
18.characteristic   adj.特有的，独特的特征 n.特征，特色
19.characterize     v.表示...的特征，描述...特性


扩展：后缀er，or不一定就是人
1.cooker            n.炊具
2.washer            n.洗衣机
3.speaker           n.扬声器
4.cooker            n.厨灶，炉具
5.scanner           n.扫描仪
6.printer           n.打印机
7.tractor           n.拖拉机
8.translator        n.翻译机
9.calculator        n.计算器


二 “re” : 表示再一次，再次，返回，相反，不
1.reuse             v.再次使用；重复使用 n.再次使用；重复使用
2.return            v.返回；恢复；n.返回；恢复；归还；adj. 来回的
3.reflect           v.回想；反射
4.retract           n.收缩核 v.缩回；收回
5.resist            n.抗蚀剂；防染剂 v.反抗,抵抗
6.reverse           v.撤销；反转；交换；n.逆向；相反；背面；adj. 相反的
7.reappear          v.再出现
8.reclaim           n.改造，感化；再生胶 v.开拓；回收再利用；改造某人，使某人悔改；抗议
9.regenerate        v.使再生；革新 adj.再生的；革新的
10.reiterate        v.重申，重复


三 “audi” : 听
1.audio             adj.声音的，音频的
2.radio             n.收音机
3.piano             n.钢琴
4.audible           adj.听的见的
5.inaudible         adj.听不见的
6.audience          n.观众，听众，读者
7.audit             v.审计，旁听 n.审计
8.auditor           n.审计员，旁听者
9.auditorium        n.礼堂，报告厅


四 “ag” ：做，动
1.agent             n.代理人，代理商 v.由...做中介 adj.代理的
2.subagent          n.副代理人
3.agenda            n.议程，日程表
4.counteragent      n.反作用剂，中和力
5.agitate           v.摇动，骚动 n.煽动
6.agitating         adj.搅拌的，搅动的，不安的


五 “back” ：后面的，向后倒退；支持；后面
1.background        n.背景，经历 v.作...的背景 adj.背景的
2.backward          adj.向后的，倒行的 v.向后，相反方向
3.drawwback         n.缺点，不利条件
4.feedback          n.反馈，反应
5.paperback         n.平装本，装本
6.setbook           n.挫折，失败


六 “ball” 球（状物），（正式的舞会），把...捏成球状
1.football          n.足球
2.rolleyball        n.排球
3.basketball        n.篮球
4.rugby             n.橄榄球
5.handball          n.手球
6.honkey            n.曲棍球
7.golf              n.高尔夫球
8.cricket           n.板球
9.ice hockey        n.冰球
10.baseball         n.棒球
11.softball         n.垒球
12.tennis           n.网球
13.pingpang         n.乒乓球
14.bald             adj.秃的，秃头的
15.balcony          n.阳台，包厢
16.balloon          n.气球，飞船 adj.气球状
17.bolt             n.螺栓，插销 v.关窗
18.boil             v.使沸腾
19.ballet           n.芭蕾舞
20.ballot           n.（不记名）投票
21.symbol           n.符号，标志，象征


七 “ban”
1.ban               v.取缔，查禁 n.禁止，禁令
2.band              n.条，带，乐队 v.缚，绑扎
3.bandage           n.绷带 v.用绷带绑扎
4.banner            n.旗帜，帜
5.abandon           v.离弃，丢弃，抛弃
6.bank              n.银行，堤 v.存入，信赖
7.bankrupt          adj.破产 v.使破产 n.破产着


八 “cap”    
1.cap               n.便帽，套，罩 v.覆盖于...顶端
2.capital           n.首都，大写字母  adj.主要的，大写字母的
3.capitalism        n.资本主义
4.captain           n.首领，队长，船长 v.做什么的首领
5.capable           adj.有本领的，有能力的
6.capacity          n.容积，容量，能力
7.cape              n.海角，短披风
8.capsule           n.胶囊，太空舱
9.capture           v.捕获，夺得 n.俘虏
10.captive          n.俘虏 adj.被俘虏的
11.escape           n.逃跑 v.逃跑，避免


扩展：以ism结尾    ...主义
1.idealism          n.理想主义
2.socialism         n.社会主义
3.capitalism        n.资本主义
4.communlism        n.共享主义
5.hedonism          n.快乐主义
6.humanism          n.人道主义


九 “cept” ：收，获得，包围
1.accept            v.接受，认可
2.acceptance        n.接受，接收，认可
3.except            prep.除...之外 v.除外，反对
4.exception         n.例外，除外
5.exceptional       adj.例外的，异常的
6.receive           v.收到，接到，接见
7.reception         n.接待，招待会；接受
8.receipt           n.收据，收条
9.receiver          n.听筒
10.conceive         v.设想，想象，怀胎，怀有
11.deceive          v.欺骗，蒙蔽
12.perceive         v.察觉，领悟
13.perception       n.知觉，感觉，洞察力


十 “cert” ：表示确定，确认
1.certain       adj.确信的，可靠的
2.certainly     adj.一定，必定，当然
3.certainty     n.必然，肯定
4.ascertain     v.确定，查明
5.certify       v.证明，证实，发证书给...
6.certificate   n.证书，证明，执照
7.concert       n.一齐，一致，音乐会
