一 “pet” ：追求
1.compete           v.竞争，比赛 
2.competition       n.竞争，比赛，竞赛
3.compertitor       n.竞争者，对手
4.competitive       adj.竞争的，比赛的
5.appetite          n.食欲，嗜好
6.appetizing        adj.开胃的，促进食欲的

二 “por，port，porta” ：门 
1.port              n.港口，口岸
2.porter            n.门房，服务员，守门人
3.portable          adj.手提的，便携式，轻便的
4.porch             n.门廊，走廊
5.passport          n.护照，通行证
6.import            n.进口，进口货，输入 v.输入，进口
7.export            n.输出，出口，出口商品 v.输出物资，输出，出口
8.transport         n.运输，运输机 v.运输
9.deport            v.驱逐出境，举止，放逐

三 “pos” ：放置
1.pose              n.姿势 v.摆姿
2.position          n.位置 v.安放
3.posture           n.姿势
4.positive          adj.确实的，积极的，正的
5.negative          adj.消极的
6.compose           v.组合，创作，使平静
7.decompose         v.腐烂，使腐烂，分解
8.component         n.部分，组件，成分
9.composition       n.构成，结构，创作，作曲
10.dispose          v.排列，去掉，处理
11.disposal         n.丢掉，排列，布置
12.disposition      n.性情，意向，排列，布置
13.expose           v.暴露，曝光，揭露
14.exposure         n.暴露，揭发，曝光
15.impose           v.把强加于，征税
16.symposium        n.讨论会，专题论文集
17.oppose           v.反抗，反对
18.opposite         adj.在对面，相反的 n.对立面
19.post             n.标杆，职位 v.邮寄，贴出
20.postage          n.邮费，邮资
21.poster           n.海报，广告
22.propose          v.提议，打算，求婚
23.preposition      n.介词
24.purpose          n.目的，用途，效果
25.suppose          v.料想，假定，假设

四 “preci”：价值
1.precious          adj.宝贵的，珍贵的，矫揉造作的
2.appreciate        v.欣赏，感激，领会，鉴别，增值，涨价
3.appreciation      n.欣赏，鉴别，增值，感谢
4.appreciative      adj.感激的，赏识的，有欣赏力的，承认有价值的
5.depreciate        v.使贬值，贬低，轻视
6.praise            n.赞扬，称赞，荣耀 v.赞美，歌颂，表扬

五 “press”：压，印刷
1.press             v.压，压榨，紧迫 n.报刊，通讯社
2.pressure          n.压力，压迫，强制，紧迫，困难
3.compress          v.压缩，压紧，浓缩
4.depress           v.压抑，降低，使沮丧，压下
5.express           v.表示，表达 adj.特快的，快速的 n.快车，快运
6.expression        n.表达，表情，声调，枪调，措辞，符号
7.impress           v.印，盖印，留下印象，引人注目
8.impressive        adj.给人深刻印象，感人的
9.impression        n.印象，感想，盖印
10.oppress          v.压迫，压制
11.repress          v.压抑，压制，镇压
12.suppress         v.镇压，压制，抑制，忍住

六 “radi”：光线，根
1.rader             n.雷达
2.radiant           adj.放热的，辐射的，喜悦的，荣光焕发的
3.radiate           v.发出，辐射，流露，显示
4.radiation         n.辐射物，辐射量，辐射
5.radical           adj.根本的，彻底的，激进的
6.radio             n.无线电收音机 v.用无线电传送
7.radioactive       adj.放射性的，有辐射能的
8.radius            n.半径，辐射光线，有效航程，范围，界限

七 “rect”：直的，正确的
1.correct           adj.正确的 v.纠正
2.direct            adj.直接的 v.管理，指导
3.indirect          adj.间接的，委婉的
4.director          n.指导者，董事，导演
5.directory         n.号码簿
6.direction         n.方向，管理，指导
7.erect             adj.竖立的 v.使直立
8.erection          n.直立，建筑物
9.rectify           v.纠正，修复
10.rectangle        n.长方形
11.rectangular      adj.矩形的，成直角的

八 “rupt”：打破，裂开，分离
1.abrupt            adj.生硬的，突然的，唐突的
2.abruption         n.分离，中断
3.interrupt         v.中断，打断，插嘴，打扰 n.中断
4.erupt             v.爆发，喷出，长牙
5.corrupt           adj.腐败，贪污的，堕落的 v.使腐败，堕落，腐化，腐烂
6.disrupt           v.破坏，使瓦解，使分裂 adj.分裂的，中断的，分散的
7.bankrupt          adj.破产的 v.使破产 n.破产者
8.bankruptcy        n.破产
9.ruin              n.废墟，毁坏，灭亡 v.毁灭，破产，堕落，被毁灭

九 “sat，satis，satur”：足，满，饱
1.satisfy           v.令人满意，满足，说服，使相信，使满意
2.satisfaction      n.满意，满足，赔偿，乐事
3.satisfactory      adj.满意的，符合要求的，赎罪的
4.dissatisfy        v.不满足，使...感觉不满
5.dissatisfied      adj.不满意的，不高兴的，流露不满的
6.dissatisfaction   n.不满，令人不满的事务

十 “sci”：知
1.science           n.科学，学科，理科
2.scientific        adj.科学的，系统的
3.prescience        n.先知，预知
4.prescient         adj.预知的有先见之明的
5.conscience        n.道德心，良心
6.conscious         adj.意识到的，故意的，神志清醒的
7.consciousness     n.意识，知觉，觉悟，感觉
8.subconscious      adj.潜意识的，下意识的 n.潜在意识，下意识心理活动
9.unconscious       adj.无意识的，失去知觉的，不省人事的，未发觉的
10.conscientiuos    adj.认真的，尽责的，小心谨慎的
11.sciolistic       adj.一知半解的
12.omniscient       adj.全知的，无所不知的
