一 “grad” ：走，步，级
1.grade             n.年级，等级，成绩，级别 v.评分，分等级
2.gradual           adj.逐渐的，平缓的
3.graduate          v.授予...学位，分等级，毕业 n.研究生 adj.毕业的
4.postgraduate      n.研究生，研究所的学生 adj.大学毕业后
5.upgrade           v.使升级，提升 n.升级，上升 adv.往上 adj.向上的
6.degrade           v.贬低，使...丢脸，使...降低，退化



二 “graph，gram” ：写，画，文字，图形
1.diagram           n.图表，图解 v.用图解法表示
2.telegram          n.电报 v.用电报发送，发电报
3.program           n.程序，计划，大纲 v.编程序，安排节目
4.photograph        v.为...拍照，使深深印入 n.照片，相片
5.autograph         n.亲笔，手稿 v.亲笔签名于...
6.autobiography     n.自传，档案，个人简介
7.telegraph         n.通信，电报 v.电汇，流露出，打电报  



三  “habit，hibit” ： 控制，保持
1.habit             n.习惯，习性
2.habitat           n.栖息地，住处
3.habitant          n.居住者
4.inhabit           v.居住于，栖息于
5.inhabitant        n.居民，居住者
6.exhibt            v.显示，展览 n.展览品
7.exhibition        n.展会
8.inhibit           v.抑制，约束
9.prohibit          v.禁止，不准




四 “ject”  ：仍，投，射
1.inject            v.注入，注射
2.injection         n.注射，注射剂，充血
3.eject             v.喷射，驱逐，逐出
4.object            n.目标，物体，容体 v.反对，拒绝
5.objective         adj.客观的，目标的 n.目的，目标
6.subject           n.主题，科目 adj.服从的，易患...的 v.使...隶属
7.subjective        adj.主观的，个人的，自觉的
8.project           v.设计，计划，表达，放映 n.工程，计划，事业
9.projector         n.投影仪，放映机，探照灯，设计者
10.reject           v.拒绝，排斥，抵制 n.被弃之物，次品




五 “lect，leg，lig”  ： 挑选
1.select            v.选择，挑选
2.selection         n.选择，选集，精选品
3.selective         adj.选择性的，讲究的
4.elect             v.选举，推举
5.election          n.选举，当选，选择权
6.collect           v.收集，收
7.collective        adj.集体的，共同的 n.团体，集体
8.collection        n.收藏品，收取，聚集
9.recollect         v.回忆，想起
10.neglect          v.\n.忽视，忽略
11.negligence       n.疏忽，粗心大意
12.negligible       adj.可忽略不计的，微不足道的
13.elite            n.上层人士，精英
14.elegant          adj.文雅的，讲究的，简洁的
15.elegance         n.高雅，优雅，雅致
16.eligible         adj.有被选中的资格的，合适的
17.ineligible       adj.无资格的，不合格的 n.不合格的人
18.intellect        n.智力的，理解力，才智非凡的人
19.intellectual     adj.智力的，善于思维的 n.知识分子
20.intelligent      adj.聪明的，有才智的
21.intelligence     n.智力，智慧，消息
22.legal            adj.合法的
23.illegal          adj.不合法的
24.rational         adj.合理的，合乎逻辑的
25.irratinal        adj.不合逻辑的，不合理的
26.logical          adj.符合逻辑的
27.illogical        adj.不符合逻辑的
28.legacy           n.遗产，财产，遗赠
29.legitimate       v.使合法 adj.合法的，合理的
 



六 “leg，legis”  ：法
1.legal             adj.法律的，合法的，法定的
2.legality          n.合法，合法性，墨守成规
3.legalization      n.合法化，法律认可
4.illegal           adj.非法的，违法的 n.非法移民，非法劳工
5.privilege         n.特权，优待 v.给予...特权，特免
6.privileged        adj.享有特权的，有特别恩典的
7.legislate         v.立法，制定法律，通过立法
8.legislative       adj.立法的，有立法权的 n.立法权，立法机构
9.legislation       n.立法，法律




七 “liter” ：文字
1.literacy          n.识字
2.literal           adj.照字面的，原义的，逐字的
3.literally         n.逐字的，确实的
4.literate          n.学者 adj.有文化修养的
5.literary          adj.文学的，文人的
6.literature        n.文学，文学作品，文献
7.illiterate        n.文盲 adj.不识字的
8.obliterate        v.擦掉，消除
9.reiterate         v.反复地说，重申，重做



八 “lum，lus” ： 光亮
1.illuminate        v.照亮，用彩灯装饰，使容光焕发
2.illumination      n.照明，彩灯，彩图
3.illuminating      adj.富于启发性的
4.illuminated       adj.被照亮的，用鲜明色彩手工装饰的
5.illusion          n.幻想，错觉
6.illusory          adj.虚假的，幻觉的
7.illustrate        v.给...加插图，说明，解释
8.illustration      n.图表，插图，实例
9.illustrative      adj.说明的，解释性的
10.illustrator      n.插图画家



九 “maj，magn，max” ： 伟大的，壮大的
1.major             adj.大的，主要的
2.majority          n.多数
3.majesty           n.威严，最高权威，陛下
4.magnify           v.夸大，增强
5.magnificent       adj.雄伟的，值得称赞的
6.magnifience       n.壮观
7.magnitude         n.巨大，重要性
8.magnifier         n.放大器
9.maximize          v.取...最大值，对...极为重视，达到最大值
10.maximization     n.极大化，最大化


十 “man，manu，men，min” ：遮盖
1.man               n.男人，人类 v.给...配备人员
2.manual            adj.手工做的 n.手册，指南
3.manage            v.管理，控制，处理
4.manager           n.管理人，经纪人
5.management        n.管理，经营
6.manipulate        v.操纵，控制
7.command           n./v. 命令，指挥
8.minister          n.部长，大臣，牧师
9.minstry           n.部
10.administrate     v.掌管，施行，实施
11.administration   n.管理，执行
12.administrator    n.掌管人，管理者
